# Author: xRuffKez
# This is a phishing list of newly registered domains. The list is part of my threat intelligence feed.
# Total domains: 247
# Newly added domains: 0
# Removed domains: 46
support-grp.net # Added: 2024-07-05; Last NS check: 2024-07-05
support-map.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
support-marketing.info # Added: 2024-07-05; Last NS check: 2024-07-05
support-redia.bet # Added: 2024-07-05; Last NS check: 2024-07-05
support-remote.org # Added: 2024-07-05; Last NS check: 2024-07-05
support.deals # Added: 2024-07-05; Last NS check: 2024-07-05
support32.org # Added: 2024-07-05; Last NS check: 2024-07-05
support32ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
support33ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
support34ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
support36.org # Added: 2024-07-05; Last NS check: 2024-07-05
support36ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
support36california.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportcenter.fyi # Added: 2024-07-05; Last NS check: 2024-07-05
supportcoinbase.icu # Added: 2024-07-05; Last NS check: 2024-07-05
supportgeeksy.shop # Added: 2024-07-05; Last NS check: 2024-07-05
supporthelp.live # Added: 2024-07-05; Last NS check: 2024-07-05
supportinyourpocket.store # Added: 2024-07-05; Last NS check: 2024-07-05
supportjusticeforrenters36.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportjusticeforrenters36ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportjusticeforrenters36california.org # Added: 2024-07-05; Last NS check: 2024-07-05
supporton36.org # Added: 2024-07-05; Last NS check: 2024-07-05
supporton36ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
supporton36california.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportprop36.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportprop36ca.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportprop36california.org # Added: 2024-07-05; Last NS check: 2024-07-05
supportslotapp.info # Added: 2024-07-05; Last NS check: 2024-07-05
supportunlockingaccount.net # Added: 2024-07-05; Last NS check: 2024-07-05
supportworkercourses230.live # Added: 2024-07-05; Last NS check: 2024-07-05
teratai888login.org # Added: 2024-07-05; Last NS check: 2024-07-05
thelogin.net # Added: 2024-07-05; Last NS check: 2024-07-05
tirai77loginrtp.click # Added: 2024-07-05; Last NS check: 2024-07-05
uclstudentsupport.info # Added: 2024-07-05; Last NS check: 2024-07-05
ufcssupportfiji.org # Added: 2024-07-05; Last NS check: 2024-07-05
usevoicesupport.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voice-support.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupport-gpt.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupport.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupportagent.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupportai.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupportgpt.biz # Added: 2024-07-05; Last NS check: 2024-07-05
voicesupportlab.biz # Added: 2024-07-05; Last NS check: 2024-07-05
win-support.online # Added: 2024-07-05; Last NS check: 2024-07-05
www-786786.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
www-apple-support.info # Added: 2024-07-05; Last NS check: 2024-07-05
www-ugg.online # Added: 2024-07-05; Last NS check: 2024-07-05
www-ugg.shop # Added: 2024-07-05; Last NS check: 2024-07-05
www1111.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www2015.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www2016.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www2019.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www2020.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www38449.vip # Added: 2024-07-05; Last NS check: 2024-07-05
www555666.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www5566.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www666616.net # Added: 2024-07-05; Last NS check: 2024-07-05
www7777.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www866.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
www91uu.lol # Added: 2024-07-05; Last NS check: 2024-07-05
wwwalgoza.store # Added: 2024-07-05; Last NS check: 2024-07-05
wwwarenax.club # Added: 2024-07-05; Last NS check: 2024-07-05
wwwbo5ty513.vip # Added: 2024-07-05; Last NS check: 2024-07-05
wwwbonni.buzz # Added: 2024-07-05; Last NS check: 2024-07-05
wwwesdfsddddfdssx.vip # Added: 2024-07-05; Last NS check: 2024-07-05
wwwgundala77.top # Added: 2024-07-05; Last NS check: 2024-07-05
wwwizard.tech # Added: 2024-07-05; Last NS check: 2024-07-05
wwwlivrovivo.net # Added: 2024-07-05; Last NS check: 2024-07-05
wwwltylerb489walmart.org # Added: 2024-07-05; Last NS check: 2024-07-05
wwwppc.org # Added: 2024-07-05; Last NS check: 2024-07-05
wwwprada.world # Added: 2024-07-05; Last NS check: 2024-07-05
wwwsonni.buzz # Added: 2024-07-05; Last NS check: 2024-07-05
wwwwebshop.store # Added: 2024-07-05; Last NS check: 2024-07-05
wwwxxx.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
wwwxxxcom.xxx # Added: 2024-07-05; Last NS check: 2024-07-05
wwwymxdh.top # Added: 2024-07-05; Last NS check: 2024-07-05
xonlyfans.click # Added: 2024-07-05; Last NS check: 2024-07-05
xonlyfans.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
zhshtf-login.icu # Added: 2024-07-05; Last NS check: 2024-07-05
zonaksplay88login.baby # Added: 2024-07-05; Last NS check: 2024-07-05
